"region","FOI","R0"
"IGL01",6.51385640295815e-07,1.31925256876657
"IGL02",4.74990428631275e-07,0.525760389126941
"IGL03",8.79017412715938e-07,1.74284625162531
"IGL04",1.43931039019109e-06,2.43775849510882
"IGL05",1.08570816153253e-06,1.65266215362717
"IGL06",1.16832239657477e-06,1.70855415421838
"IGL07",3.23281099265454e-08,0.105029603631233
"IGL08",1.41081133201704e-06,2.33648952120856
"IGL09",6.3675577557421e-07,1.1667806694677
"IGL10",9.68951092948733e-07,1.42117902832711
"IGL11",1.04586392623803e-06,1.62999785936778
"IGL12",4.08245409598171e-07,0.352427961481251
"IGL13",8.81007705850955e-07,1.16320271170003
"IGL14",1.15930916538239e-06,1.11542989173966
"IGL15",4.31637256278213e-07,0.439800974670843
"IGL16",1.57895563668902e-07,0.313040615121634
"IGL17",3.78975585098519e-06,2.64396169770104
"IGL18",1.66171851570857e-07,0.328370231081141
"IGL19",2.9426606779659e-07,0.364531126278511
"IGL20",3.45786044015875e-07,0.225926215203538
"IGL21",1.43671322847329e-07,0.265605104169505
"IGL22",1.14461528697835e-06,1.81253450599672
"IGL23",4.15196869707523e-08,0.0822923734980286
"IGL24",1.03143290516075e-06,1.58812089128884
"IGL25",7.06079128346884e-07,0.983697442651639
